Id;NAME;CATEGORY;LATITUDE;LONGITUDE;IMAGEURL;SUBTEXT;DESCRIPTION;POOLS;RESTAURANT;SAUNA;OTHER;PHONENUMBER;EMAIL;ADDRESS;MO1;MO2;DI1;DI2;MI1;MI2;DO1;DO2;FR1;FR2;SA1;SA2;SO1;SO2;PRICES;PUBLICTRANSPORT;SAISON
-1;Anderter Bad;1;52.36454;9.85166;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/bilder-region-hannover/b%C3%A4der/frei-und-hallenb%C3%A4der/hallenbad-anderten/720365-4-ger-DE/Hallenbad-Anderten.jpg;Hier können Schwimmer ungestört ihre Bahnen ziehen und die Öffnungszeiten orientieren sich an den Wünschen der Gäste.;Als im Jahre 1990 das Hallenbad Anderten geschlossen werden sollte, übernahm der Turn- und Sportverein Anderten e.V. die Betriebsführung der Sportstätte. Kurz darauf wurde die TSV Anderten Betriebsführungsgesellschaft mbH gegründet, die die Aufgaben übernommen hat und es ermöglicht, das in Anderten weiterhin Wassersport möglich ist. Heute können Schwimmer hier ungestört ihre Bahnen ziehen: Das Bad ist zwar wenig spektakulär, aber sportlich motivierten Schwimmern durchaus zu empfehlen. Die Atmosphäre ist angenehm ruhig, selten sind zu den öffentlichen Schwimmzeiten mehr als 15 Badegäste im Wasser.;* Schwimmerbecken (25×12,5 Meter), 5 Bahnen, 1-Meter-Sprungbrett, 5 Startsockel, Temperatur: 27°C;;;;+49 511 5248570;geschaeftsstelle@tsv-anderten-gmbh.de;Krumme Straße 5, 30559 Hannover;06:00-08:00;;06:00-08:00;;06:00-08:00;;06:00-08:00;17:00-21:00;06:00-08:00;;06:00-14:00;;06:00-09:00;;;5, 800;01.01.2021-31.12.2021;
-1;Büntebad Hemmingen;1;52.32699;9.74242;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/region-hannover/b%C3%A4der/b%C3%A4dergrafik/hallenbad-hemmingen-ansprung-bad/719789-3-ger-DE/Hallenbad-Hemmingen-Ansprung-Bad.jpg;Modern und runderneuert lädt das Büntebad in Hemmingen zum Verweilen ein, auch Menschen mit Handicap können das Bad nun nutzen.;Das Büntebad lockt mit einer Reihe von Attraktionen die Badegäaste.;* Schwimmerbecken (27,5°C) mit 5 Bahnen à 25m * Multifunktionsbecken (30,0°C) mit 8 Massagedüsen * 1m-Brett und 3m-Plattform;* Bistro im Saunabereich * Automaten mit Getränken und Süßigkeiten im Eingangsbereich;;;+49 511 4103460;info@buentebad.de;Hohe Bünte 6, 30966 Hemmingen;;;07:00-08:45;13:00-18:00;07:00-12:00;13:00-18:00;07:00-08:45;13:00-18:00;07:00-12:00;13:00-18:00;09:00-17:00;;09:00-17:00;;;363, 365, 366;10.06.2021-31.12.2021;
-1;Fössebad;1;52.37185;9.69639;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/bilder-region-hannover/b%C3%A4der/frei-und-hallenb%C3%A4der/foessebad-schwimmhalle-innen-p/13534115-1-ger-DE/Foessebad-Schwimmhalle-Innen-p.jpg;Eines der ältesten Bäder Hannovers und immer noch angesagt.;Seit 1993 wird das Bad von einer Betriebs-GmbH betrieben. Der ehemalige Fahrradkeller ist an das stadtbekannte Veranstaltungszentrum "Bei Chéz Heinz" verpachtet. Vom Freibad wird im Sommer die Außenanlage genutzt, die Schwimmbecken sind geschlossen. Die Fössebad Betriebsges. mbH plant eine Modernisierung des Fössebades;* Schwimmer 25×12,5 Meter mit integriertem 1-Meter- und 3-Meter-Brett, Temperatur: 26°C * Nichtschwimmer: 12,5×6 Meter, Temperatur: 29°C;;Sauna vorhanden;;+49 511 2102108;foessebad.k.sievert@htp-tel.de;Liepmannstraße 7b, 30453 Hannover;06:00-17:30;;06:00-21:00;;;;06:00-17:30;;06:00-17:30;;08:00-17:30;;09:00-14:30;;;10, 700;01.09.2021-31.12.2021;
-1;Hallenbad Isernhagen;1;52.43364;9.8559;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/region-hannover/b%C3%A4der/b%C3%A4dergrafik/hallenbad-isernhagen/720140-3-ger-DE/Hallenbad-Isernhagen.jpg;Gemütliches Bad mit attraktiven Angeboten und einem festen Stammkundenkreis.;Das Bad ist gemütlich, stilvoll und sauber. Dies wissen die Besucher zwischen 3 und 80 Jahren zu schätzen. Stammgäste aus Misburg, Buchholz und der näheren Umgebung kommen teilweise bereits seit 30 Jahren ganz gezielt hierher, weil sie in Ruhe die Möglichkeit zum Frühschwimmen wahrnehmen. Auch Schulen und Vereine fühlen sich hier wohl. Der Spielnachmittag am Freitag ist bei Kindern und Jugendlichen besonders beliebt, denn wer kann schon geschickt über das Wasser laufen, ohne dabei baden zu gehen? Seit März 2004 hat eine private Betreibergesellschaft das Bad übernommen.;* Schwimmer/Nichtschwimmer 25x10 Meter, Temperatur: 28°C;Getränke- und Süßigkeitenverkauf;* Finnische Sauna (ca.95 Grad Celsius) * Biosauna (ca. 75 Grad Celsius) inklusive Farblichttherapie * Caldarium-Dampfbad inklusive selbst zuschaltbare Aromatherapie * Laconium-Schwitzbad * Eisbrunnen;;0511 / 6151848;info@hallenbad-isernhagen.de;Bernhard-Rehkopf-Straße 7, 30916 Isernhagen;;;06:30-10:00;;06:30-10:00;;06:30-10:00;;06:30-10:00;;07:30-17:00;;07:30-13:00;;;3, 630, 631;16.06.2021-31.12.2021;
-1;Hallenbad Planetenring;1;52.41723;9.60299;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/region-hannover/b%C3%A4der/b%C3%A4dergrafik/hallenbad-planetenring-wibit/719897-3-ger-DE/Hallenbad-Planetenring-Wibit.jpg;Schwimmen und Baden im ersten Stock. Das etwas andere Bad.;Ein Hallenbad mit Eigensinn: der moderne 70er-Jahre-Klinkerbau mit großen Glasflächen hat ein Schwimmbecken, das auf Stelzen steht. So liegt das Bad nicht zu ebener Erde, sondern quasi im ersten Stock. Emsig erklimmen hier Heerscharen von Frühschwimmern aus einem Umkreis von 50 Kilometern im Morgengrauen die Treppen, um unermüdlich ihre Bahnen zu ziehen. Mittags kommen Familien auf ihre Kosten und die Nachmittage sind bei Jugendlichen beliebt.;* Schwimmer/Nichtschwimmer: 25×12,5 Meter, separates Sprungbecken: 12,5×8,5 Meter mit 1-Meter- und 3-Meter-Sprungturm, Temperatur: 28°C * kleines Planschbecken mit Rutsche, Temperatur: 32°C;Kiosk;Sauna vorhanden;;;;Planetenring 38, 30823 Garbsen;06:00-16:00;;06:00-22:00;;06:00-16:00;;05:00-22:00;;06:00-16:00;;09:00-17:00;;;;;4, 421, 430;01.01.2021-31.12.2021;
-1;Nord-Ost-Bad;1;52.40517;9.79623;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/region-hannover/b%C3%A4der/b%C3%A4dergrafik/nord-ost-bad/719366-2-ger-DE/Nord-Ost-Bad.jpg;Modernes Bad mit großem Wellness- und Freizeitangebot;Als das alte, etwas erneuerungsbedürftige Nord-Ost-Bad 1988 komplett nieder brannte, ahnte niemand, dass die Stadt Hannover sich hier noch einmal engagieren würde. Doch sie tat es mit viel Enthusiasmus für das "Bad am Kanal". Es wurde 1992 wieder eröffnet und ist mit allen denkbaren Schwimmbad-Attraktionen ausgestattet.;* Variobecken mit Hubbodenbereich 25 x 12,5 Meter mit Massagedüsen und Gegenstromanlage. * Wassertemperatur28°C * Nichtschwimmerspaßbecken mit großer Rutsche, Sprudelliegen und Schwalldusche, Wassertemperatur: 30°C * Lagune mit Wasserpfad, Wasserfall und Bodensprudler, Wassertemperatur: 32°C * 2 Whirlpools, Wassertemperatur: 36°C * Planschbecken für die kleinsten Gäste, Wassertemperatur: 32°C;Das Bistro Lagune verspricht mit vielen leckeren und typischen Schwimmbadspeisen den Hunger von Groß und Klein zu stillen. Ob Süßes oder Herzhaftes, ob Gemüse oder Fleisch – hier ist für jeden was dabei!;4 Saunen sowie Garten und Entspannungsmöglichkeiten;Das Bad ist Behindertengerecht konstruiert. Dazu gehören extra Parkplätze, Rampen, automatische Türen, Versehrtenkabinen, separate Sanitäranlagen und ein automatischer Lift um in das Schwimmerbecken zu gelangen.;+49 511 168-48300;Nord-Ost-Bad@Hannover-Stadt.de;Podbielskiestraße 301, 30655 Hannover;14:00-22:00;;06:00-21:30;;06:00-22:00;;06:00-21:30;;06:00-21:30;;08:00-21:30;;09:00-18:00;;;3, 7, 9, 900;12.09.2021-31.12.2021;
-1;Stadionbad;1;52.35917;9.73399;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/bilder-region-hannover/b%C3%A4der/frei-und-hallenb%C3%A4der/stadionbad/2017/stadionbad-blick-grosses-schwimmbecken-und-sprungtum-pp/17046942-3-ger-DE/Stadionbad-Blick-grosses-Schwimmbecken-und-Sprungtum-pp.jpg;Das Bad in Hannover für Schwimmer, die gern 50 Meter Bahnen schwimmen und der Austragungsort für Schwimmwettkämpfe und Wasserballspiele.;1972 im Olympiajahr erbaut, ist das Stadionbad das Highlight im Sportpark Hannover. Nicht nur, weil der Bau mit dem muschelartigen Kupferdach sich architektonisch eindrucksvoll präsentiert. Im Innern kann man Schwimmwettkämpfe, Wasserballturniere und Turmspringen live und hautnah miterleben, oder einfach selbst ins sportliche Wettkampfbecken springen. Apropos: An der Unterwasser-Glaswand am Sprungbecken beobachtet man exzellent, wie Springer elegant ins Wasser eintauchen.;* Schwimmer 50×21 Meter mit abteilbarem Sprungbecken: 1-Meter- und 3-Meter-Brett, 5-Meter-, 7,5-Meter- und 10-Sprungturm, Temperatur: 26°C * Nichtschwimmer 26×12,75 Meter mit kleiner Rutsche, Massagedüsen und Wasserpilz, Temperatur: 30°C * Planschbecken mit Wasser speiendem Clown, Temperatur: 30°C;Bistro und Schwimmshop;Finnische Sauna 90 Grad * Tauchbecken * Ruheraum und Eismaschine;;+49 511 168-45411;stadionbad@hannover-stadt.de;Robert-Enke-Straße 5, 30169 Hannover;14:00-22:30;;06:30-16:00;;;;06:30-16:00;;06:30-20:30;;;;09:00-18:00;;;3, 7, 17, 100, 200;12.09.2021-31.12.2021;
-1;Stöckener Bad;1;52.4146;9.66547;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/bilder-region-hannover/b%C3%A4der/frei-und-hallenb%C3%A4der/st%C3%B6cken/st%C3%B6ckener-bad-p2/720248-4-ger-DE/St%C3%B6ckener-Bad-p.jpg;Veranstaltungen mit Tradition und Angebote für spezielle Zielgruppen. Das Stöckener Bad verbindet Tradition mit Moderne.;Das Stöckener Bad ist seit 2006 Ausbildungsbad für das Berufsfeld "Fachangestellter für Bäderbetriebe". Ebenfalls im Jahr 2006 wurde das Stöckener Bad behindertengerecht ausgestattet. Fahrstuhl, geräumige Umkleidekabinen mit separaten Duschen und Sanitäranlagen sowie ein elektrischer Beckenlifter bieten jeden erdenklichen Komfort. Zudem die Auszubildenden mit vielen Ideen für eine Atmosphäre zum Wohlfühlen. Veranstaltungen wie das jährliche Weihnachtsschwimmen, Halloween und viele weitere Aktionen haben schon Tradition. Jeden Samstag findet ab 14.00 Uhr das Frauenschwimmen statt, hier können die Damen unter überwiegend weiblicher Aufsicht ganz unter sich sein. Zielgruppenorientierte Aquafitnesskurse und Schwimmunterricht für Kinder und Erwachsene runden das Angebot ab.;* Variobecken 25x12,5 m * Sprungbecken 11,75 x 7,65 m mit 1-Meter und 3-Meter-Sprunganlage / Temperatur 30° C;Snack- und Getränkeautomaten;;;+49 511 168-49335;stoeckener-bad@hannover-stadt.de;Hogrefestraße 45, 30419 Hannover;06:30-09:30;;06:30-09:30;;06:30-21:30;;06:30-09:30;;06:30-09:30;;08:00-13:30;;08:00-13:30;;;5, 126, 135, 136, 470, 490, 581;31.12.2021-31.12.2021;
-1;Vahrenwalder Bad;1;52.39422;9.7366;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/bilder-region-hannover/b%C3%A4der/frei-und-hallenb%C3%A4der/vahrenwalder-bad/2017/p1020829-p/16567340-1-ger-DE/P1020829-p.jpg;Das Bad, das durch abgetrennte Becken den Wünschen der Schwimmer gerecht wird.;Das Vahrenwalder Bad ist ein sportgerechtes Familienbad mit besonderer Atmosphäre durch das abgetrennte Nichtschwimmerbecken. Ein besonderes Angebot ist das Frauenschwimmen am Freitag in der Zeit von 16 bis 18:00 Uhr. Dieses Angebot ist ausschließlich Frauen und Mädchen (sowie Jungs bis 3 Jahre) vorbehalten und auf 35 Besucherinnen in der Schwimmhalle begrenzt. Die Sauna ist geschlossen;* Schwimmer 25x12,5 Meter mit 1-Meter Brett, Gegenstromanlage und Massagedüsen. Temperatur: 26°C * Nichtschwimmer 12,5x8,75 Meter mit Rutsche Bodensprudeler und Massagedüsen. Temperatur: 30°C * Planschbecken 5,5x3,5 Meter mit Wasser speiendem Clown und Schlange, großen Wickeltisch und Wärmebänken im seperaten ruhigen Bereich. Temperatur: 32°C;Snack- und Getränkeautomaten;;;+49 511 168-44629;vahrenwalder-bad@hannover-stadt.de;Vahrenwalder Straße 100, 30165 Hannover;12:00-18:00;;06:00-21:30;;06:00-17:00;;06:00-21:30;;06:00-16:30;;08:00-21:30;;09:00-18:00;;;1, 2, 8, 100, 133, 200;06.09.2021-31.12.2021;
-1;Freibad Arnum;2;52.29611;9.73346;https://www.hannover.de/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/bilder-region-hannover/b%C3%A4der/frei-und-hallenb%C3%A4der/freibad-arnum-p-2014/11080768-3-ger-DE/Freibad-Arnum-p-2014.jpg;Das Arnumer Freibad wird von der gemeinnützigen Hemminger Bäder Gesellschaft betrieben und bietet durch weitläufige Grünanlagen Naherholung und zahlreiche Sport- und Freizeitmöglichkeiten.;Neben dem klassischen Schwimmbecken und einem Nichtschwimmerbecken mit einer extrabreiten Wellenrutsche locken zahlreiche Spielmöglichkeiten. Ob Bolzplatz oder Boulbahn, ob Volleyballfeld, Tischtennisplatte  oder Kinderspielplatz – hier kommen Groß und Klein auf Ihre Kosten und einander nicht in die Quere. Sonnenanbeter erfreuen sich der kühlen Getränke-, einer Snackauswahl und genießen die gepflegten Grün- und Liegeflächen. Das solarbeheizte Freibad Arnum verfügt über einen mediterran gestalteten Umkleide- und Innenbereich, sanierte Dusch- und Sanitäranlagen und eine kleine Leihbibliothek.;* Schwimmer 50×16,5 Meter * Nichtschwimmer 20×20 Meter mit Elefantenrutsche und extra breiter Wellen-Rutsche;Attraktives Kioskangebot mit Imbiss und schattigen Sitzgelegenheiten;;;+49 5101 3454;;Hiddestorfer Straße 14, 30966 Hemmingen;13:00-20:00;;06:30-20:00;;06:30-20:00;;06:30-20:00;;06:30-20:00;;10:00-20:00;;10:00-20:00;;;360, 366;15.05.2021-05.09.2021;
